sport,day,start_time,teams
NBA,2025-04-11,7:00 PM EDT,Atlanta Hawks vs Philadelphia 76ers
NBA,2025-04-11,7:00 PM EDT,Milwaukee Bucks vs Detroit Pistons
NBA,2025-04-11,7:00 PM EDT,Orlando Magic vs Indiana Pacers
NBA,2025-04-11,7:30 PM EDT,Charlotte Hornets vs Boston Celtics
NBA,2025-04-11,7:30 PM EDT,Cleveland Cavaliers vs New York Knicks
NBA,2025-04-11,8:00 PM EDT,Washington Wizards vs Chicago Bulls
NBA,2025-04-11,8:00 PM EDT,Miami Heat vs New Orleans Pelicans
NBA,2025-04-11,8:30 PM EDT,Toronto Raptors vs Dallas Mavericks
NBA,2025-04-11,9:00 PM EDT,Memphis Grizzlies vs Denver Nuggets
NBA,2025-04-11,9:00 PM EDT,Brooklyn Nets vs Minnesota Timberwolves
NBA,2025-04-11,9:30 PM EDT,Oklahoma City Thunder vs Utah Jazz
NBA,2025-04-11,10:00 PM EDT,San Antonio Spurs vs Phoenix Suns
NBA,2025-04-11,10:00 PM EDT,Golden State Warriors vs Portland Trail Blazers
NBA,2025-04-11,10:00 PM EDT,Los Angeles Clippers vs Sacramento Kings
NBA,2025-04-11,10:30 PM EDT,Houston Rockets vs Los Angeles Lakers
