sport,day,start_time,teams
NCAAB,2025-03-20,12:00 PM EDT,Duke vs Michigan State
NCAAB,2025-03-20,12:15 PM EDT,Illinois vs Texas A&M
NCAAB,2025-03-20,2:30 PM EDT,Kansas vs Kentucky
NCAAB,2025-03-20,2:45 PM EDT,Arizona vs Maryland
NCAAB,2025-03-20,5:00 PM EDT,North Carolina vs Gonzaga
NCAAB,2025-03-20,5:15 PM EDT,Florida vs Baylor
NCAAB,2025-03-20,7:00 PM EDT,Alabama vs Xavier
NCAAB,2025-03-20,7:15 PM EDT,Creighton vs USC
NCAAB,2025-03-20,9:30 PM EDT,Houston vs Michigan
NCAAB,2025-03-20,9:45 PM EDT,Indiana vs UConn
