sport,day,start_time,teams,assignment
NBA,2025-04-11,10:00 PM EDT,San Antonio Spurs vs Phoenix Suns,Vegas
NBA,2025-04-11,10:00 PM EDT,Golden State Warriors vs Portland Trail Blazers,Vegas
NBA,2025-04-11,10:00 PM EDT,Los Angeles Clippers vs Sacramento Kings,Vegas
NBA,2025-04-11,10:30 PM EDT,Houston Rockets vs Los Angeles Lakers,Public
NBA,2025-04-11,7:00 PM EDT,Atlanta Hawks vs Philadelphia 76ers,Vegas
NBA,2025-04-11,7:00 PM EDT,Milwaukee Bucks vs Detroit Pistons,Vegas
NBA,2025-04-11,7:00 PM EDT,Orlando Magic vs Indiana Pacers,Vegas
NBA,2025-04-11,7:30 PM EDT,Charlotte Hornets vs Boston Celtics,Public
NBA,2025-04-11,7:30 PM EDT,Cleveland Cavaliers vs New York Knicks,Public
NBA,2025-04-11,8:00 PM EDT,Washington Wizards vs Chicago Bulls,Vegas
NBA,2025-04-11,8:00 PM EDT,Miami Heat vs New Orleans Pelicans,Vegas
NBA,2025-04-11,8:30 PM EDT,Toronto Raptors vs Dallas Mavericks,Public
NBA,2025-04-11,9:00 PM EDT,Memphis Grizzlies vs Denver Nuggets,Vegas
NBA,2025-04-11,9:00 PM EDT,Brooklyn Nets vs Minnesota Timberwolves,Vegas
NBA,2025-04-11,9:30 PM EDT,Oklahoma City Thunder vs Utah Jazz,Public
