sport,day,start_time,teams,assignment
NCAAB,2025-03-20,12:00 PM EDT,Duke vs Michigan State,Public
NCAAB,2025-03-20,12:15 PM EDT,Illinois vs Texas A&M,Vegas
NCAAB,2025-03-20,2:30 PM EDT,Kansas vs Kentucky,Public
NCAAB,2025-03-20,2:45 PM EDT,Arizona vs Maryland,Vegas
NCAAB,2025-03-20,5:00 PM EDT,North Carolina vs Gonzaga,Public
NCAAB,2025-03-20,5:15 PM EDT,Florida vs Baylor,Vegas
NCAAB,2025-03-20,7:00 PM EDT,Alabama vs Xavier,Public
NCAAB,2025-03-20,7:15 PM EDT,Creighton vs USC,Vegas
NCAAB,2025-03-20,9:30 PM EDT,Houston vs Michigan,Public
NCAAB,2025-03-20,9:45 PM EDT,Indiana vs UConn,Vegas
